ID,Name,Qty,Unit cost,Cost,Part number,URL
IC1,ATTINY85-20PU-ND,1,$1.26,$1.26,ATTINY85-20PU-ND,http://www.digikey.com/product-detail/en/ATTINY85-20PU/ATTINY85-20PU-ND/735469
,8-pin DIP IC socket,1,$0.19,$0.19,A100204-ND,http://www.digikey.com/product-detail/en/1-390261-2/A100204-ND/1125622
C1,10uF 50V aluminum capacitor,1,$0.20,$0.20,P5178-ND,http://www.digikey.com/product-detail/en/ECA-1HM100/P5178-ND/245037
R1-R3,"150ohm, 1/4W resistor",3,$0.08,$0.24,CF14JT150RCT-ND,http://www.digikey.com/product-detail/en/CF14JT150R/CF14JT150RCT-ND/1830603?cur=USD
R4,"1M, 1/4W resistor",1,$0.08,$0.08,CF14JT1M00CT-ND,http://www.digikey.com/product-detail/en/CF14JT1M00/CF14JT1M00CT-ND/1830423?cur=USD
LED1-6,"Amber LED, 2.1V @ 20mA, 5mm",6,$0.23,$1.38,C566C-AFS-CU0W0252CT-ND,http://www.digikey.com/product-detail/en/C566C-AFS-CU0W0252/C566C-AFS-CU0W0252CT-ND/1987475?cur=USD
J1,DC power jack,1,$0.92,$0.92,CP-202A-ND,http://www.digikey.com/product-detail/en/PJ-202A/CP-202A-ND/252007?cur=USD
J2,2-pin JST female,1,$0.56,$0.56,455-1749-1-ND,http://www.digikey.com/product-detail/en/S2B-PH-SM4-TB(LF)(SN)/455-1749-1-ND/926846?cur=USD
J3,"2-pin 0.1"" screw terminal",1,$0.54,$0.54,ED10561-ND,http://www.digikey.com/product-detail/en/OSTVN02A150/ED10561-ND/1588862
J4,"2-pin 0.1"" male header",1,$0.18,$0.18,609-3500-ND,http://www.digikey.com/product-detail/en/68000-102HLF/609-3500-ND/1493545
,Piezo element,1,$1.62,$1.62,102-1126-ND,http://www.digikey.com/product-detail/en/CEB-20D64/102-1126-ND/412385
,,,,,,
,,,Total,$7.17,,
